Case, sub_main/10_1,,,
,,,,
Drag [N], 53.537,,,
Drag Area [m2], 0.874,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.0, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
battery, 18.483, 1,,
FL motor, 1.099, 1,,
FR motor, 1.099, 1,,
BL motor, 1.099, 1,,
BR motor, 1.099, 1,,
FL arm, 2.55, 0.865,,
FR arm, 2.55, 0.865,,
BL arm, 2.55, 0.865,,
BR arm, 2.55, 0.865,,
main body, 16.519, 0.757,,
main body top, 3.94, 0.079,,
