Case, sensitivity_analysis/icecream_4,,,
,,,,
Drag [N], 22.874,,,
Drag Area [m2], 0.303,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.1, 0.105, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
cabin, 17.41, 1,,
rotor, 3.704, 1,,
motor, 1.733, 1,,
shaft, 0.028, 0.076,,
