Case, sensitivity_analysis/icecream_0,,,
,,,,
Drag [N], 9.425,,,
Drag Area [m2], 0.125,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.432, 0.16, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
rotor, 3.704, 1,,
cabin, 3.891, 1,,
motor, 1.733, 1,,
shaft, 0.097, 1,,
