Case, sensitivity_analysis/icecream_3,,,
,,,,
Drag [N], 18.726,,,
Drag Area [m2], 0.248,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.184, 0.109, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
cabin, 13.262, 1,,
rotor, 3.704, 1,,
motor, 1.733, 1,,
shaft, 0.028, 0.076,,
