Case, icecream,,,
,,,,
Drag [N], 12.028,,,
Drag Area [m2], 0.159,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.351, 0.125, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
rotor, 3.704, 1,,
cabin, 6.494, 1,,
motor, 1.733, 1,,
shaft, 0.097, 1,,
