Case, quadcopter/11-1_1,,,
,,,,
Drag [N], 77.62,,,
Drag Area [m2], 1.029,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], -0.014, 0.0, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
main body, 27.168, 1,,
left front motor, 4.268, 1,,
right front motor, 4.268, 1,,
left back motor, 4.268, 1,,
right back motor, 4.268, 1,,
left lower arm, 0.534, 0.324,,
right lower arm, 0.534, 0.324,,
left front arm, 7.206, 0.861,,
right front arm, 7.206, 0.861,,
left back arm, 7.206, 0.861,,
right back arm, 7.206, 0.861,,
head, 0.191, 0.066,,
torso, 2.049, 0.071,,
left upper arm, 0.626, 0.364,,
right upper arm, 0.626, 0.364,,
